,lines
17379,"Oh, I don't think I'd like that, said the Donkey."
17380,"It would look - I mean, the other Beasts might think - that is to say, I shouldn't feel -  What are you talking about? said Shift, scratching himself the wrong way up as Apes do."
17381,"I don't think it would be respectful to the Great Lion, to Aslan himself, if an ass like me went about dressed up in a lion-skin, said Puzzle."
17382,"Now don't stand arguing, please, said Shift."
17383,"What does an ass like you know about things of that sort? You know you're no good at thinking, Puzzle, so why don't you let me do your thinking for you? Why don't you treat me as I treat you? I don't think I can do everything."
17384,I know you're better at some things than I am.
17385,That's why I let you go into the Pool; I knew you'd do it better than me.
17386,But why can't I have my turn when it comes to something I can do and you can't? Am I never to be allowed to do anything? Do be fair.
17387,Turn and turn about.
17388,"Oh, well, of course, if you put it that way, said Puzzle."
17389,"I tell you what, said Shift."
17390,You'd better take a good brisk trot down river as far as Chippingford and see if they have any oranges or bananas.
17391,"But I'm so tired, Shift, pleaded Puzzle."
17392,"Yes, but you are very cold and wet, said the Ape."
17393,You want something to warm you up.
17394,A brisk trot would be just the thing.
17395,"Besides, it's market day at Chippingford today."
17396,And then of course Puzzle said he would go.
17397,"As soon as he was alone Shift went shambling along, sometimes on two paws and sometimes on four, till he reached his own tree."
17398,"Then he swung himself up from branch to branch, chattering and grinning all the time, and went into his little house."
17399,He found needle and thread and a big pair of scissors there; for he was a clever Ape and the Dwarfs had taught him how to sew.
17400,"He put the ball of thread (it was very thick stuff, more like cord than thread) into his mouth so that his cheek bulged out as if he were sucking a big bit of toffee."
17401,He held the needle between his lips and took the scissors in his left paw.
17402,Then he came down the tree and shambled across to the lion-skin.
17403,He squatted down and got to work.
17404,He saw at once that the body of the lion-skin would be too long for Puzzle and its neck too short.
17405,So he cut a good piece out of the body and used it to make a long collar for Puzzle's long neck.
17406,Then he cut off the head and sewed the collar in between the head and the shoulders.
17407,He put threads on both sides of the skin so that it would tie up under Puzzle's chest and stomach.
17408,"Every now and then a bird would pass overhead and Shift would stop his work, looking anxiously up."
17409,He did not want anyone to see what he was doing.
17410,"But none of the birds he saw were Talking Birds, so it didn't matter."
17411,Late in the afternoon Puzzle came back.
17412,"He was not trotting but only plodding patiently along, the way donkeys do."
17413,"There weren't any oranges, he said, and there weren't any bananas."
17414,And I'm very tired.
17415,He lay down.
17416,"Come and try on your beautiful new lion-skin coat, said Shift."
17417,"Oh bother that old skin, said Puzzle."
17418,I'll try it on in the morning.
17419,I'm too tired tonight.
17420,"You are unkind, Puzzle, said Shift."
17421,"If you're tired what do you think I am? All day long, while you've been having a lovely refreshing walk down the valley, I've been working hard to make you a coat."
17422,My paws are so tired I can hardly hold these scissors.
17423,"And you won't say thank you -and you won't even look at the coat -and you don't care - and- and-  My dear Shift, said Puzzle getting up at once, I am so sorry."
17424,I've been horrid.
17425,Of course I'd love to try it on.
17426,And it looks simply splendid.
17427,Do try it on me at once.
17428,Please do.
17429,"Well, stand still then, said the Ape."
17430,"The skin was very heavy for him to lift, but in the end, with a lot of pulling and pushing and puffing and blowing, he got it on to the donkey."
17431,He tied it underneath Puzzle's body and he tied the legs to Puzzle's legs and the tail to Puzzle's tail.
17432,A good deal of Puzzle's grey nose and face could be seen through the open mouth of the lion's head.
17433,No one who had ever seen a real lion would have been taken in for a moment.
17434,"But if someone who had never seen a lion looked at Puzzle in his lion-skin he just might mistake him for a lion, if he didn't come too close, and if the light was not too good, and if Puzzle didn't let out a bray and didn't make any noise with his hoofs."
17435,"You look wonderful, wonderful, said the Ape."
17436,"If anyone saw you now, they'd think you were Aslan, the Great Lion, himself."
17437,"That would be dreadful, said Puzzle."
17438,"No it wouldn't, said Shift."
17439,Everyone would do whatever you told them.
17440,But I don't want to tell them anything.
17441,But you think of the good we could do! said Shift.
17442,"You'd have me to advise you, you know."
17443,I'd think of sensible orders for you to give.
17444,"And everyone would have to obey us, even the King himself."
17445,We would set everything right in Narnia.
17446,But isn't everything right already? said Puzzle.
17447,What! cried Shift.
17448,"Everything right?-when there are no oranges or bananas?  Well, you know, said Puzzle, there aren't many people - in fact, I don't think there's anyone but yourself who wants those sort of things."
17449,"There's sugar too, said Shift."
17450,"H'm yes, said the Ass."
17451,It would be nice if there was more sugar.
17452,"Well then, that's settled, said the Ape."
17453,"You will pretend to be Aslan, and I'll tell you what to say."
17454,"No, no, no, said Puzzle."
17455,Don't say such dreadful things.
17456,"It would be wrong, Shift."
17457,I maybe not very clever but I know that much.
17458,"What would become of us if the real Aslan turned up?  I expect he'd be very pleased, said Shift."
17459,"Probably he sent us the lion-skin on purpose, so that we could set things to right."
17460,"Anyway, he never does turn up, you know."
17461,Not nowadays.
17462,At that moment there came a great thunderclap right overhead and the ground trembled with a small earthquake.
17463,Both the animals lost their balance and were flung on their faces.
17464,"There! gasped Puzzle, as soon as he had breath to speak."
17465,"It's a sign, a warning."
17466,I knew we were doing something dreadfully wicked.
17467,Take this wretched skin off me at once.
17468,"No, no, said the Ape (whose mind worked very quickly)."
17469,It's a sign the other way.
17470,"I was just going to say that if the real Aslan, as you call him, meant us to go on with this, he would send us a thunderclap and an earth-tremor."
17471,"It was just on the tip of my tongue, only the sign itself came before I could get the words out."
17472,"You've got to do it now, Puzzle."
17473,And please don't let us have any more arguing.
17474,You know you don't understand these things.
17475,"What could a donkey know about signs?     CHAPTER TWO  THE RASHNESS OF THE KING   About three weeks later the last of the Kings of Narnia sat under the great oak which grew beside the door of his little hunting lodge, where he often stayed for ten days or so in the pleasant spring weather."
17476,"It was a low, thatched building not far from the Eastern end of Lantern Waste and some way above the meeting of the two rivers."
17477,"He loved to live there simply and at ease, away from the state and pomp of Cair Paravel, the royal city."
17478,"His name was King Tirian, and he was between twenty and twenty-five years old; his shoulders were already broad and strong and his limbs full of hard muscle, but his beard was still scanty."
17479,"He had blue eyes and a fearless, honest face."
17480,"There was no one with him that spring morning except his dearest friend, Jewel the Unicorn."
17481,They loved each other like brothers and each had saved the other's life in the wars.
17482,"The lordly beast stood close beside the King's chair, with its neck bent round polishing its blue horn against the creamy whiteness of its flank."
17483,"I cannot set myself to any work or sport today, Jewel, said the King."
17484,I can think of nothing but this wonderful news.
17485,"Think you we shall hear any more of it today?  They are the most wonderful tidings ever heard in our days or our fathers' or our grandfathers' days, Sire, said Jewel, if they are true."
17486,How can they choose but be true? said the King.
17487,"It is more than a week ago that the first birds came flying over us saying, Aslan is here, Aslan has come to Narnia again."
17488,And after that it was the squirrels.
17489,"They had not seen him, but they said it was certain he was in the woods."
17490,Then came the Stag.
17491,"He said he had seen him with his own eyes, a great way off, by moonlight, in Lantern Waste."
17492,"Then came that dark Man with the beard, the merchant from Calormen."
17493,The Calormenes care nothing for Aslan as we do; but the man spoke of it as a thing beyond doubt.
17494,And there was the Badger last night; he too had seen Aslan.
17495,"Indeed, Sire, answered Jewel, I believe it all."
17496,"If I seem not to, it is only that my joy is too great to let my belief settle itself."
17497,It is almost too beautiful to believe.
17498,"Yes, said the King with a great sigh, almost a shiver, of delight."
17499,It is beyond all that I ever hoped for in all my life.
17500,"Listen! said Jewel, putting his head on one side and cocking his ears forward."
17501,What is it? asked the King.
17502,"Hoofs, Sire, said Jewel."
17503,A galloping horse.
17504,A very heavy horse.
17505,It must be one of the Centaurs.
17506,"And look, there he is."
17507,"A great, golden bearded Centaur, with man's sweat on his forehead and horse's sweat on his chestnut flanks, dashed up to the King, stopped, and bowed low."
17508,"Hail, King, it cried in a voice as deep as a bull's."
17509,"Ho, there! said the King, looking over his shoulder towards the door of the hunting lodge."
17510,A bowl of wine for the noble Centaur.
17511,"Welcome, Roonwit."
17512,When you have found your breath you shall tell us your errand.
17513,"A page came out of the house carrying a great wooden bowl, curiously carved, and handed it to the Centaur."
17514,"The Centaur raised the bowl and said,  I drink first to Aslan and truth, Sire, and secondly to your Majesty."
17515,He finished the wine (enough for six strong men) at one draught and handed the empty bowl back to the page.
17516,"Now, Roonwit, said the King."
17517,"Do you bring us more news of Aslan?  Roonwit looked very grave, frowning a little."
17518,"Sire, he said."
17519,"You know how long I have lived and studied the stars; for we Centaurs live longer than you Men, and even longer than your kind, Unicorn."
17520,Never in all my days have I seen such terrible things written in the skies as  there have been nightly since this year began.
17521,"The stars say  nothing of the coming of Aslan, nor of peace, nor of joy."
17522,I  know by my art that there have not been such disastrous conjunctions of the planets for five hundred years.
17523,It was already in my mind to come and warn your Majesty that some great evil hangs over Narnia.
17524,But last night the rumour reached me that Aslan is abroad in Narnia.
17525,"Sire, do not believe this tale."
17526,It cannot be.
17527,"The stars never lie, but Men and Beasts do."
17528,If Aslan were really coming to Narnia the sky would have foretold it.
17529,"If he were really come, all the most gracious stars would be assembled in his honour."
17530,It is all a lie.
17531,A lie! said the King fiercely.
17532,"What creature in Narnia or all the world would dare to lie on such a matter? And, without knowing it, he laid his hand on his sword hilt."
17533,"That I know not, Lord King, said the Centaur."
17534,But I know there are liars on earth; there are none among the stars.
17535,"I wonder, said Jewel, whether Aslan might not come though all the stars foretold otherwise."
17536,He is not the slave of the stars but their Maker.
17537,Is it not said in all the old stories that He is not a tame lion.
17538,"Well said, well said, Jewel, cried the King."
17539,Those are the very words: not a tame lion.
17540,It comes in many tales.
17541,Roonwit had just raised his hand and was leaning forward to say something very earnestly to the King when all three of them turned their heads to listen to a wailing sound that was quickly drawing nearer.
17542,The wood was so thick to the West of them that they could not see the newcomer yet.
17543,But they could soon hear the words.
17544,"Woe, woe, woe! called the voice."
17545,Woe for my brothers and sisters! Woe for the holy trees! The woods are laid waste.
17546,The axe is loosed against us.
17547,We are being felled.
17548,"Great trees are falling, falling, falling."
17549,With the last falling the speaker came in sight.
17550,She was like a woman but so tall that her head was on a level with the Centaur's yet she was like a tree too.
17551,"It is hard to explain if you have never seen a Dryad but quite unmistakable once you have - something different in the colour, the voice, and the hair."
17552,King Tirian and the two Beasts knew at once that she was the nymph of a beech tree.
17553,"Justice, Lord King! she cried."
17554,Come to our aid.
17555,Protect your people.
17556,They are felling us in Lantern Waste.
17557,Forty great trunks of my brothers and sisters are already on the ground.
17558,"What, Lady! Felling Lantern Waste? Murdering the talking trees? cried the King, leaping to his feet and drawing his sword."
17559,"How dare they? And who dares it? Now by the Mane of Aslan-  A-a-a-h, gasped the Dryad shuddering as if in pain - shuddering time after time as if under repeated blows."
17560,Then all at once she fell sideways as suddenly as if both her feet had been cut from under her.
17561,For a second they saw her lying dead on the grass and then she vanished.
17562,They knew what had happened.
17563,"Her tree, miles away, had been cut down."
17564,For a moment the King's grief and anger were so great that he could not speak.
17565,"Then he said:  Come, friends."
17566,"We must go up river and find the villains who have done this, with all the speed we may."
17567,I will leave not one of them alive.
17568,"Sire, with a good will, said Jewel."
17569,"But Roonwit said, Sire, be wary in your just wrath."
17570,There are strange doings on foot.
17571,"If there should be rebels in arms further up the valley, we three are too few to meet them."
17572,"If it would please you to wait while -  I will not wait the tenth part of a second, said the King."
17573,"But while Jewel and I go forward, do you gallop as hard as you may to Cair Paravel."
17574,Here is my ring for your token.
17575,"Get me a score of men-at-arms, all well mounted, and a score of Talking Dogs, and ten Dwarfs (let them all be fell archers), and a Leopard or so, and Stonefoot the Giant."
17576,Bring all these after us as quickly as may be.
17577,"With a good will, Sire, said Roonwit."
17578,And at once he turned and galloped Eastward down the valley.
17579,"The King strode on at a great pace, sometimes muttering to himself and sometimes clenching his fists."
17580,"Jewel walked beside him, saying nothing; so there was no sound between them but the faint jingle of a rich gold chain that hung round the Unicorn's neck and the noise of two feet and four hoofs."
17581,They soon reached the River and turned up it where there was a grassy road: they had the water on their left and the forest on their right.
17582,Soon after that they came to the place where the ground grew rougher and thick wood came down to the water's edge.
17583,"The road, what there was of it, now ran on the Southern bank and they had to ford the River to reach it."
17584,"It was up to Tirian's arm-pits, but Jewel (who had four legs and was therefore steadier) kept on his right so as to break the force of the current, and Tirian put his strong arm round the Unicorn's strong neck and they both got safely over."
17585,The King was still so angry that he hardly noticed the cold of the water.
17586,"But of course he dried his sword very carefully on the shoulder of his cloak, which was the only dry part of him, as soon as they came to shore."
17587,They were now going Westward with the River on their right and Lantern Waste straight ahead of them.
17588,They had not gone more than a mile when they both stopped and both spoke at the same moment.
17589,"The King said What have we here? and Jewel said Look!  It is a raft, said King Tirian."
17590,And so it was.
17591,"Half a dozen splendid tree-trunks, all newly cut and newly lopped of their branches, had been lashed  together to make a raft, and were gliding swiftly down the river."
17592,On the front of the raft there was a water rat with a pole to steer it.
17593,Hey! Water-Rat! What are you about? cried the King.
17594,"Taking logs down to sell to the Calormenes, Sire, said the Rat, touching his ear as he might have touched his cap if he had had one."
17595,Calormenes! thundered Tirian.
17596,What do you mean? Who gave order for these trees to be felled?  The River flows so swiftly at that time of the year that the raft had already glided past the King and Jewel.
17597,"But the Water-Rat looked back over its shoulder and shouted out:  The Lion's orders, Sire."
17598,Aslan himself.
17599,He added something more but they couldn't hear it.
17600,The King and the Unicorn stared at one another and both looked more frightened than they had ever been in any battle.
17601,"Aslan, said the King at last, in a very low voice."
17602,Aslan.
17603,Could it be true? Could he be felling the holy trees and murdering the Dryads?  Unless the Dryads have all done something dreadfully wrong- murmured Jewel.
17604,But selling them to Calormenes! said the King.
17605,"Is it possible?  I don't know, said Jewel miserably."
17606,He's not a tame lion.
17607,"Well, said the King at last, we must go on and take the adventure that comes to us."
17608,"It is the only thing left for us to do, Sire, said the Unicorn."
17609,He did not see at the moment how foolish it was for two of them to go on alone; nor did the King.
17610,They were too angry to think clearly.
17611,But much evil came of their rashness in the end.
17612,Suddenly the King leaned hard on his friend's neck and bowed his head.
17613,"Jewel, he said, what lies before us? Horrible thoughts arise in my heart."
17614,If we had died before today we should have been happy.
17615,"Yes, said Jewel."
17616,We have lived too long.
17617,The worst thing in the world has come upon us.
17618,They stood like that for a minute or two and then went on.
17619,"Before long they could hear the hack-hack-hack of axes falling on timber, though they could see nothing yet because there was a rise of the ground in front of them."
17620,When they had reached the top of it they could see right into Lantern Waste itself.
17621,And the King's face turned white when he saw it.
17622,Right through the middle of that ancient forest - that forest where the trees of gold and of silver had once grown and where a child from our world had once planted the Tree of Protection - a broad lane had already been opened.
17623,"It was a hideous lane like a raw gash in the land, full of muddy ruts where felled trees had been dragged down to the river."
17624,"There was a great crowd of people at work, and a cracking of whips, and horses tugging and straining as they dragged at  the logs."
17625,The first thing that struck the King and the Unicorn was that about half the people in the crowd were not Talking Beasts but Men.
17626,"The next thing was that these men were not the fair-haired men of Narnia: they were dark, bearded men from Calormen, that great and cruel country that lies beyond Archenland across the desert to the south."
17627,"There was no reason, of course, why one should not meet a Calormene or two in Narnia - a merchant or an ambassador - for there was peace between Narnia and Calormen in those days."
17628,But Tirian could not understand why there were so many of them: nor why they were cutting down a Narnian forest.
17629,He grasped his sword tighter and rolled his cloak round his left arm.
17630,They came quickly down among the men.
17631,Two Calormenes were driving a horse which was harnessed to a log.
17632,Just as the King reached them the log had got stuck in a bad muddy place.
17633,"Get on, son of sloth! Pull, you lazy pig! cried the Calormenes, cracking their whips."
17634,The horse was already straining himself as hard as he could; his eyes were red and he was covered with foam.
17635,"Work, lazy brute, shouted one of the Calormenes: and as he spoke he struck the horse savagely with his whip."
17636,It was then that the really dreadful thing happened.
17637,"Up till now Tirian had taken it for granted that the horses which the Calormenes were driving were their own horses; dumb, witless animals like the horses of our own world."
17638,"And though he hated to see even a dumb horse overdriven, he was of course thinking more about the murder of the Trees."
17639,"It had never crossed his mind that anyone would dare to harness one of the free Talking Horses of Narnia, much less to use a whip on it."
17640,"But as that savage blow fell the horse reared up and said, half screaming:  Fool and tyrant! Do you not see I am doing all I can?  When Tirian knew that the Horse was one of his own Narnians, there came over him and over Jewel such a rage that they did not know what they were doing."
17641,"The King's sword went up, the Unicorn's horn went down."
17642,They rushed forward together.
17643,"Next moment both the Calormenes lay dead, the one beheaded by Tirian's sword and the other gored through the heart by Jewel's horn."
17644,"  CHAPTER THREE  THE APE IN ITS GLORY   MASTER Horse, Master Horse, said Tirian as he hastily cut its traces, how came these aliens to enslave you? Is Narnia conquered? Has there been a battle?  No, Sire, panted the horse, Aslan is here."
17645,It is all by his orders.
17646,"He has commanded -  'Ware danger, King, said Jewel."
17647,Tirian looked up and saw that Calormenes (mixed with a few Talking Beasts) were beginning to run towards them from every direction.
17648,The two dead men had died without a cry and so it had taken a moment before the rest of the crowd knew what had happened.
17649,But now they did.
17650,Most of them had naked scimitars in their hands.
17651,Quick.
17652,"On my back, said Jewel."
17653,The King flung himself astride of his old friend who turned and galloped away.
17654,"He changed direction twice or thrice as soon as they were out of sight of their enemies, crossed a stream, and shouted without slackening his pace, Whither away, Sire? To Cair Paravel?  Hold hard, friend, said Tirian."
17655,Let me off.
17656,He slid off the Unicorn's back and faced him.
17657,"Jewel, said the King."
17658,We have done a dreadful deed.
17659,"We were sorely provoked, said Jewel."
17660,"But to leap on them unawares - without defying them while they were unarmed - faugh! We are two murderers, Jewel."
17661,I am dishonoured forever.
17662,Jewel drooped his head.
17663,He too was ashamed.
17664,"And then, said the King, the Horse said it was by Aslan's orders."
17665,The Rat said the same.
17666,They all say Aslan is here.
17667,"How if it were true?  But, Sire, how could Aslan be commanding such dreadful things?  He is not a tame lion, said Tirian."
17668,"How should we know what he would do? We, who are murderers."
17669,"Jewel, I will go back."
17670,I will give up my sword and put myself in the hands of these Calormenes and ask that they bring me before Aslan.
17671,Let him do justice on me.
17672,"You will go to your death, then, said Jewel."
17673,Do you think I care if Aslan dooms me to death? said the King.
17674,"That would be nothing, nothing at all."
17675,Would it not be better to be dead than to have this horrible fear that Aslan has come and is not like the Aslan we have believed in and longed for? It is as if the sun rose one day and were a black sun.
17676,"I know, said Jewel."
17677,Or as if you drank water and it were dry water.
17678,"You are in the right, Sire."
17679,This is the end of all things.
17680,Let us go and give ourselves up.
17681,There is no need for both of us to go.
17682,"If ever we loved one another, let me go with you now, said the Unicorn."
17683,"If you are dead and if Aslan is not Aslan, what life is left for me?  They turned and walked back together, shedding bitter tears."
17684,As soon as they came to the place where the work was going on the Calormenes raised a cry and came towards them with their weapons in hand.
17685,But the King held out his sword with the hilt towards them and said:  I who was King of Narnia and am now a dishonoured knight give myself up to the justice of Aslan.
17686,Bring me before him.
17687,"And I give myself up too, said Jewel."
17688,"Then the dark men came round them in a thick crowd, smelling of garlic and onions, their white eyes flashing dreadfully in their brown faces."
17689,They put a rope halter round Jewel's neck.
17690,They took the King's sword away and tied his hands behind his back.
17691,"One of the Calormenes, who had a helmet instead of a turban and seemed to be in command, snatched the gold circlet off Tirian's head and hastily put it away somewhere among his clothes."
17692,They led the two prisoners uphill to a place where there was a big clearing.
17693,And this was what the prisoners saw.
17694,"At the centre of the clearing, which was also the highest point of the hill, there was a little hut like a stable, with a thatched roof."
17695,Its door was shut.
17696,On the grass in front of the door there sat an Ape.
17697,"Tirian and Jewel, who had been expecting to see Aslan and had heard nothing about an Ape yet, were very bewildered when they saw it."
17698,"The Ape was of course Shift himself, but he looked ten times uglier than when he lived by Caldron Pool, for he was now dress- ed up."
17699,"He was wearing a scarlet jacket which did not fit him very well, having been made for a dwarf."
17700,"He had Jewelled slippers on his hind paws which would not stay on properly because, as you know, the hind paws of an Ape are really like hands."
17701,He wore what seemed to be a paper crown on his head.
17702,There was a great pile of nuts beside him and he kept cracking nuts with his jaws and spitting out the shells.
17703,And he also kept on pulling up the scarlet jacket to scratch himself.
17704,"A great number of Talking Beasts stood facing him, and nearly every face in that crowd looked miserably worried and bewildered."
17705,When they saw who the prisoners were they all groaned and whimpered.
17706,"O Lord Shift, mouthpiece of Aslan, said the chief Calormene."
17707,We bring you prisoners.
17708,By our skill and courage and by the permission of the great god Tash we have taken alive these two desperate murderers.
17709,"Give me that man's sword, said the Ape."
17710,"So they took the King's sword and handed it, with the sword-belt and all, to the monkey."
17711,And he hung it round his own neck: and it made him look sillier than ever.
17712,"We'll see about those two later, said the Ape, spitting out a shell in the direction of the two prisoners."
17713,I got some other business first.
17714,They can wait.
17715,"Now listen to me, everyone."
17716,The first thing I want to say is about nuts.
17717,"Where's that Head Squirrel got to?  Here, Sir, said a red squirrel, coming forward and making a nervous little bow."
17718,"Oh you are, are you? said the Ape with a nasty look."
17719,Now attend to me.
17720,"I want - I mean, Aslan wants - some more nuts."
17721,These you've brought aren't anything like enough.
17722,"You must bring some more, do you hear? Twice as many."
17723,"And they've got to be here by sunset tomorrow, and there mustn't be any bad ones or any small ones among them."
17724,"A murmur of dismay ran through the other squirrels, and the Head Squirrel plucked up courage to say:  Please, would Aslan himself speak to us about it? If we might be allowed to see him -  Well you won't, said the Ape."
17725,He may be very kind (though it's a lot more than most of you deserve) and come out for a few minutes tonight.
17726,Then you can all have a look at him.
17727,But he will not have you all crowding round him and pestering him with questions.
17728,Anything you want to say to him will be passed on through me: if I think it's worth bothering him about.
17729,In the meantime all you squirrels had better go and see about the nuts.
17730,"And make sure they are here by tomorrow evening or, my word! you'll catch it."
17731,The poor squirrels all scampered away as if a dog were after them.
17732,This new order was terrible news for them.
17733,The nuts they had carefully hoarded for the winter had nearly all been eaten by now; and of the few that were left they had already given the Ape far more than they could spare.
17734,Then a deep voice - it belonged to a great tusked and shaggy Boar - spoke from another part of the crowd.
17735,But why can't we see Aslan properly and talk to him? it said.
17736,When he used to appear in Narnia in the old days everyone could talk to him face to face.
17737,"Don't you believe it, said the Ape."
17738,"And even if it was true, times have changed."
17739,"Aslan says he's been far too soft with you before, do you see? Well, he isn't going to be soft any more."
17740,He's going to lick you into shape this time.
17741,"He'll teach you to think he's a tame lion!  A low moaning and whimpering was heard among the Beasts; and, after that, a dead silence which was more miserable still."
17742,"And now there's another thing you got to learn, said the Ape."
17743,I hear some of you are saying I'm an Ape.
17744,"Well, I'm not."
17745,I'm a Man.
17746,"If I look like an Ape, that's because I'm so very old: hundreds and hundreds of years old."
17747,And it's because I'm so old that I'm so wise.
17748,And it's because I'm so wise that I'm the only one Aslan is ever going to speak to.
17749,He can't be bothered talking to a lot of stupid animals.
17750,"He'll tell me what you've got to do, and I'll tell the rest of you."
17751,"And take my advice, and see you do it in double quick time, for he doesn't mean to stand any nonsense."
17752,There was a dead silence except for the noise of a very young badger crying and its mother trying to make it keep quiet.
17753,"And now here's another thing, the Ape went on, fitting a fresh nut into its cheek, I hear some of the horses are saying, Let's hurry up and get this job of carting timber over as quickly as we can, and then we'll be free again."
17754,"Well, you can get that idea out of your heads at once."
17755,And not only the Horses either.
17756,Everybody who can work is going to be made to work in future.
17757,"Aslan has it all settled with the King of Calormen - The Tisroc, as our dark faced friends the Calormenes call him."
17758,All you Horses and Bulls and Donkeys are to be sent down into Calormen to work for your living - pulling and carrying the way horses and such-like do in other countries.
17759,And all you digging animals like Moles and Rabbits and Dwarfs are going down to work in The Tisroc's mines.
17760,"And -  No, no, no, howled the Beasts."
17761,It can't be true.
17762,Aslan would never sell us into slavery to the King of Calormen.
17763,None of that! Hold your noise! said the Ape with a snarl.
17764,Who said anything about slavery? You won't be slaves.
17765,You'll be paid - very good wages too.
17766,"That is to say, your pay will be paid into Aslan's treasury and he will use it all for everybody's good."
17767,"Then he glanced, and almost winked, at the chief Calormene."
17768,"The Calormene bowed and replied, in the pompous Calormene way:  Most sapient Mouthpiece of Aslan, The Tisroc (may he-live-forever) is wholly of one mind with your lordship in this judicious plan."
17769,There! You see! said the Ape.
17770,It's all arranged.
17771,And all for your own good.
17772,"We'll be able, with the money you earn, to make Narnia a country worth living in."
17773,"There'll be oranges and bananas pouring in - and roads and big cities and schools and offices and whips and muzzles and saddles and cages and kennels and prisons - Oh, everything."
17774,"But we don't want all those things, said an old Bear."
17775,We want to be free.
17776,And we want to hear Aslan speak himself.
17777,"Now don't you start arguing, said the Ape, for it's a thing I won't stand."
17778,"I'm a Man: you're only a fat, stupid old Bear."
17779,What do you know about freedom? You think freedom means doing what you like.
17780,"Well, you're wrong."
17781,That isn't true freedom.
17782,True freedom means doing what I tell you.
17783,"H-n-n-h, grunted the Bear and scratched its head; it found this sort of thing hard to understand."
17784,"Please, please, said the high voice of a woolly lamb, who was so young that everyone was surprised he dared to speak at all."
17785,What is it now? said the Ape.
17786,Be quick.
17787,"Please, said the Lamb, I can't understand."
17788,What have we to do with the Calormenes? We belong to Aslan.
17789,They belong to Tash.
17790,They have a god called Tash.
17791,They say he has four arms and the head of a vulture.
17792,They kill Men on his altar.
17793,I don't believe there's any such person as Tash.
17794,"But if there was, how could Aslan be friends with him?  All the animals cocked their heads sideways and all their bright eyes flashed towards the Ape."
17795,They knew it was the best question anyone had asked yet.
17796,The Ape jumped up and spat at the Lamb.
17797,Baby! he hissed.
17798,Silly little bleater! Go home to your mother and drink milk.
17799,"What do you understand of such things? But the others, listen."
17800,Tash is only another name for Aslan.
17801,All that old idea of us being right and the Calormenes wrong is silly.
17802,We know better now.
17803,The Calormenes use different words but we all mean the same thing.
17804,Tash and Aslan are only two different names for you know Who.
17805,That's why there can never be any quarrel between them.
17806,"Get that into your heads, you stupid brutes."
17807,Tash is Aslan: Aslan is Tash.
17808,You know how sad your own dog's face can look sometimes.
17809,"Think of that and then think of all the faces of those Talking Beasts - all those honest, humble, bewildered Birds, Bears, Badgers, Rabbits, Moles, and Mice - all far sadder than that."
17810,"Every tail was down, every whisker drooped."
17811,It would have broken your heart with very pity to see their faces.
17812,There was only one who did not look at all unhappy.
17813,"It was a ginger Cat - a great big Tom in the prime of life - who sat bolt upright with his tail curled round his toes, in the very front row of all the Beasts."
17814,He had been staring hard at the Ape and the Calormene captain all the time and had never once blinked his eyes.
17815,"Excuse me, said the Cat very politely, but this interests me."
17816,"Does your friend from Calormen say the same?  Assuredly, said the Calormene."
17817,"The enlightened Ape - Man, I mean - is in the right."
17818,Aslan means neither less nor more than Tash.
17819,"Especially, Aslan means no more than Tash? suggested the Cat."
17820,"No more at all, said the Calormene, looking the Cat straight in the face."
17821,"Is that good enough for you, Ginger? said the Ape."
17822,"Oh certainly, said Ginger coolly."
17823,Thank you very much.
17824,I only wanted to be quite clear.
17825,I think I am beginning to understand.
17826,"Up till now the King and Jewel had said nothing: they were waiting until the Ape should bid them speak, for they thought it was no use interrupting."
17827,"But now, as Tirian looked round on the miserable faces of the Narnians, and saw how they would all believe that Aslan and Tash were one and the same, he could bear it no longer."
17828,"Ape, he cried with a great voice, you lie damnably."
17829,You lie like a Calormene.
17830,You lie like an Ape.
17831,He meant to go on and ask how the terrible god Tash who fed on the blood of his people could possibly be the same as the good Lion by whose blood all Narnia was saved.
17832,"If he had been allowed to speak, the rule of the Ape might have ended that day; the Beasts might have seen the truth and thrown the Ape down."
17833,"But before he could say another word two Calormenes struck him in the mouth with all their force, and a third, from behind, kicked his feet from under him."
17834,"And as he fell, the Ape squealed in rage and terror."
17835,Take him away.
17836,Take him away.
17837,"Take him where he cannot hear us, nor we hear him."
17838,There tie him to a tree.
17839,"I will - I mean, Aslan will - do justice on him later."
17840,  CHAPTER FOUR  WHAT HAPPENED THAT NIGHT   THE King was so dizzy from being knocked down that he hardly knew what was happening until the Calormenes untied his wrists and put his arms straight down by his sides and set him with his back against an ash tree.
17841,Then they bound ropes round his ankles and his knees and his waist and his chest and left him there.
17842,What worried him worst at the moment - for it is often little things that are hardest to stand - was that his lip was bleeding where they had hit him and he couldn't wipe the little trickle of blood away although it tickled him.
17843,From where he was he could still see the little stable on the top of the hill and the Ape sitting in front of it.
17844,"He could just hear the Ape's voice still going on and, every now and then, some answer from the crowd, but he could not make out the words."
17845,"I wonder what they've done to Jewel, thought the King."
17846,Presently the crowd of beasts broke up and began going away in different directions.
17847,Some passed close to Tirian.
17848,They looked at him as if they were both frightened and sorry to see him tied up but none of them spoke.
17849,Soon they had all gone and there was silence in the wood.
17850,"Then hours and hours went past and Tirian became first very thirsty and then very hungry; and as the afternoon dragged on and turned into evening, he became cold too."
17851,His back was very sore.
